id,tab,name,department,category,upc,price,imageSearchUrl,approvedImageUrl
smoking-01325,smoking,GAMBLER TUBE CUT CIGARETTE MACHINE,CIGARETTE ROLLING MACHINE,Uncategorized,077170260848,44.99,https://www.google.com/search?tbm=isch&q=GAMBLER+TUBE+CUT+CIGARETTE+MACHINE+077170260848+product+image,
smoking-01326,smoking,COHIBA RUBICON TORO 6 X 50,CIGARS,Uncategorized,689674167068,10.99,https://www.google.com/search?tbm=isch&q=COHIBA+RUBICON+TORO+6+X+50+689674167068+product+image,
smoking-01327,smoking,CUBAN REJECT ROBUSTO MADURO,CIGARS,Uncategorized,751667203517,3.99,https://www.google.com/search?tbm=isch&q=CUBAN+REJECT+ROBUSTO+MADURO+751667203517+product+image,
smoking-01328,smoking,CUBAN REJECT TORO NATURAL,CIGARS,Uncategorized,751667187992,4.49,https://www.google.com/search?tbm=isch&q=CUBAN+REJECT+TORO+NATURAL+751667187992+product+image,
smoking-01329,smoking,CUBAN ROUNDS ROBUSTO MADURO,CIGARS,Uncategorized,751667048958,4.49,https://www.google.com/search?tbm=isch&q=CUBAN+ROUNDS+ROBUSTO+MADURO+751667048958+product+image,
smoking-01330,smoking,DUTCH MASTERS PRESIDENT CIGARS,CIGARS,Uncategorized,071610500280,6.99,https://www.google.com/search?tbm=isch&q=DUTCH+MASTERS+PRESIDENT+CIGARS+071610500280+product+image,
smoking-01331,smoking,MACANUDO VANIILA/BOURBON CIGAR,CIGARS,Uncategorized,689674161585,9.99,https://www.google.com/search?tbm=isch&q=MACANUDO+VANIILA%2FBOURBON+CIGAR+689674161585+product+image,
smoking-01332,smoking,MIAMI CIGARS TATIANA FUSION FRENZY,CIGARS,Uncategorized,788135100108,6.99,https://www.google.com/search?tbm=isch&q=MIAMI+CIGARS+TATIANA+FUSION+FRENZY+788135100108+product+image,
smoking-01333,smoking,OLIVA SERIE O ROBUSTO,CIGARS,Uncategorized,814539011785,10.99,https://www.google.com/search?tbm=isch&q=OLIVA+SERIE+O+ROBUSTO+814539011785+product+image,
smoking-01334,smoking,PERFECTO GARCIA 1905 MADURO,CIGARS,Uncategorized,pg19m,7.99,https://www.google.com/search?tbm=isch&q=PERFECTO+GARCIA+1905+MADURO+pg19m+product+image,
smoking-01335,smoking,ROCKY PATEL VINTAGE SERIES 1990 TORO,CIGARS,Uncategorized,"846261002717,846261000119",14.99,https://www.google.com/search?tbm=isch&q=ROCKY+PATEL+VINTAGE+SERIES+1990+TORO+846261002717%2C846261000119+product+image,
smoking-01336,smoking,ROCKY PATEL VINTAGE SERIES 1999 CONNECTICUT,CIGARS,Uncategorized,846261002755,14.99,https://www.google.com/search?tbm=isch&q=ROCKY+PATEL+VINTAGE+SERIES+1999+CONNECTICUT+846261002755+product+image,
smoking-01337,smoking,TATIANA CLASSIC CHOCOLATE,CIGARS,Uncategorized,788135100061,6.99,https://www.google.com/search?tbm=isch&q=TATIANA+CLASSIC+CHOCOLATE+788135100061+product+image,
smoking-01338,smoking,FORMULA 420 NINE9 ISOPROPYL PINK LABLE,CLEANERS,Uncategorized,717995670988,10.0,https://www.google.com/search?tbm=isch&q=FORMULA+420+NINE9+ISOPROPYL+PINK+LABLE+717995670988+product+image,
smoking-01339,smoking,FORMULA 420 NINE9 ISOPROPYL PURPLE LABLE,CLEANERS,Uncategorized,717995671008,10.0,https://www.google.com/search?tbm=isch&q=FORMULA+420+NINE9+ISOPROPYL+PURPLE+LABLE+717995671008+product+image,
smoking-01340,smoking,FORMULA 710 NINE9 ISOPROPYL YELLOW LABLE,CLEANERS,Uncategorized,717995671022,10.0,https://www.google.com/search?tbm=isch&q=FORMULA+710+NINE9+ISOPROPYL+YELLOW+LABLE+717995671022+product+image,
smoking-01341,smoking,KIEF SWEEPER GRINDER CLEANING BRUSH,CLEANERS,Uncategorized,6436000000,9.99,https://www.google.com/search?tbm=isch&q=KIEF+SWEEPER+GRINDER+CLEANING+BRUSH+6436000000+product+image,
smoking-01342,smoking,RANDY'S ORANGE LABEL CLEANER,CLEANERS,Uncategorized,850387007273,8.0,https://www.google.com/search?tbm=isch&q=RANDY%27S+ORANGE+LABEL+CLEANER+850387007273+product+image,
smoking-01343,smoking,PHARAOHS CUBO CHROME HOOKAH SINGLE HOSE,HOOKAH,HOOKAH,cuboc,49.99,https://www.google.com/search?tbm=isch&q=PHARAOHS+CUBO+CHROME+HOOKAH+SINGLE+HOSE+cuboc+product+image,
smoking-01344,smoking,PHARAOHS CUBO PURPLE HOOKAH SINGLE HOSE,HOOKAH,HOOKAH,cubop,49.99,https://www.google.com/search?tbm=isch&q=PHARAOHS+CUBO+PURPLE+HOOKAH+SINGLE+HOSE+cubop+product+image,
