product_id,tab,product_name,upc,department,category,current_image_path,ak_wholesale_product_name,ak_image_url,notes
glass-00077,glass,FLOWER POWER BEAKER DBL STACK BASE,06228001001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00078,glass,FLOWER POWER BEAKER DBL STACK PERC,062281010017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00079,glass,FLOWER POWER BEAKER DBL STACK STEM,06228201001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00080,glass,FLOWER POWER BIG SINGLE STACK BASE,06227301001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00081,glass,FLOWER POWER BIG SINGLE STACK STEM,06227401001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00082,glass,HALO CLEAR TYE DIE DBL STACK BASE,06228501001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00083,glass,HALO CLEAR TYE DIE DBL STACK PERC,06228601001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00084,glass,HALO CLEAR TYE DIE DBL STACK STEM,06228701001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00085,glass,HALO GOLD STANDARD BEAKER,062271010010,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00086,glass,HALO GOLD STANDARD STEM,062272010019,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00087,glass,HALO MOONLIGHT ROSE BEAKER BASE,062267010017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00088,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK BASE,06227701001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00089,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK PERC,06227801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00090,glass,HALO MOONLIGHT ROSE BEAKER DBL STACK STEM,06227901001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00091,glass,HALO MOONLIGHT ROSE BEAKER STEM,06226801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00092,glass,HALO PRETTY DONE BEAKER BASE,062263010011,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00093,glass,HALO PRETTY DONE BEAKER STEM,062264010010,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00094,glass,HALO PRETTY DONE HONEYCOMB BASE,06228801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00095,glass,HALO PRETTY DONE HONEYCOMB STEM,06228901001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00096,glass,HALO PRISM WHITE BEAKER BASE,06226501001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00097,glass,HALO PRISM WHITE BEAKER STEM,06226601001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00098,glass,HALO SPACED OUT BIG BEAKER BASE,062283010015,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00099,glass,HALO SPACED OUT BIG BEAKER STEM,062284010014,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00100,glass,HALO TYE DIE SPACE OUT BEAKER BASE,062261010013,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00101,glass,HALO TYE DIE SPACE OUT BEAKER STEM,06226201001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00102,glass,HALO VINTAGE FLORAL BEAKER BASE,65707501001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00103,glass,HALO VINTAGE FLORAL BEAKER STEM,70758001001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00104,glass,HELIX BIG DOTTED PIPES AMERICAN GLASS,0607371,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00105,glass,HELIX BIG REG PIPES AMERICAN GLASS,06073401001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00106,glass,HELIX SMALL DOTTED PIPES AMERICAN GLASS,0607361,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00107,glass,HELIX SMALL REGULAR PIPES AMERICAN GLASS,0607441,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00108,glass,IZLOW GLASS BOWL,00455055,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00109,glass,IZLOW GLASS BOWL,00556065,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00110,glass,IZLOW GLASS BOWL,983274291484,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00111,glass,JEWEL SAPPHIRE,06218801001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00112,glass,JEWEL TOPAZ,06218201001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00113,glass,MBV AURORA,041429846039,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00114,glass,MBV BURMESE,062215010014,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00115,glass,MBV COYOTE,062196010010,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00116,glass,MBV DOUBLE HAPPINESS,06240401001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00117,glass,MBV JEWEL EMERALD,200220p,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00118,glass,MBV JOY,041429846152,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00119,glass,MBV LOTUS,041568311825,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00120,glass,MBV LOVE BUD,062197010019,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00121,glass,MBV LUCK,041429846176,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00122,glass,MBV MERMAID,041568317919,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00123,glass,MBV MONICA,100110p,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00124,glass,MBV PHOEBE,90100p,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00125,glass,MBV RACHEL,04142984602,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00126,glass,MBV ROSE IVORY,100rose,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00127,glass,MBV ROSE LILAC,041568313034,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00128,glass,MBV ROSE PINK,041429846077,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00129,glass,MBV ROSETTE AQUA,090100a,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00130,glass,MBV ROSETTE CORAL,04156831319,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00131,glass,MBV ROSETTE MAUVE,041568313218,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00132,glass,MBV TOCA CABANA,041568314109,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00133,glass,MBV TURTLE V,041568316783,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00134,glass,MBV VAMP,041568313232,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00135,glass,STARDUST,06218101001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00136,glass,TYE DIE CLEAR TALL BEAKER BASE,06225901001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00137,glass,TYE DIE CLEAR TALL BEAKER STEM,06226001001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00138,glass,WATER PIPE,051247010017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00139,glass,WATER PIPE,059060061018,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00140,glass,WATER PIPE,570600640017,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00141,glass,WOODLAND TURTLE,06221601001,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00142,glass,ZONG,0340350360,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00143,glass,ZONG FLOW BEAKER,gl000063,AMERICAN GLASS,AMERICAN GLASS,,,,
glass-00144,glass,ALEAF THE RECLAIMER BUBBLER BLACK,720053581348,GLASS,Uncategorized,,,,
glass-00145,glass,ALEAF ULTRA NECTOR COLLECTOR,"766129861549,766129861570,766129861563",GLASS,Uncategorized,,,,
glass-00146,glass,BANGER SET,061386010014,GLASS,Uncategorized,,,,
glass-00147,glass,BANGER SET HIGH,061387010013,GLASS,Uncategorized,,,,
glass-00148,glass,BUBBLERS,061410010010,GLASS,Uncategorized,,,,
glass-00149,glass,CHEECH GLYCERIN NECTOR COLLECTOR,chnc04,GLASS,Uncategorized,,,,
